control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-FDTP-EXEC-EVID-V3-031,target_read_replica_count,0,0,PASS,contract_and_operator_confirmation,not_zero
PMAI-P0-04-FDTP-EXEC-EVID-V3-032,target_high_availability,false,false,PASS,sanitized_configuration_evidence,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-033,target_connection_pooling,false,false,PASS,contract_and_operator_confirmation,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-034,target_application_attachment_count,0,0,PASS,contract_and_operator_confirmation,not_zero
PMAI-P0-04-FDTP-EXEC-EVID-V3-035,target_cost_ceiling_usd,1.00,1.00,PASS,authorization_contract,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-036,target_cost_projection_usd,0.62,0.62,PASS,displayed_monthly_total_calculation,over_ceiling
PMAI-P0-04-FDTP-EXEC-EVID-V3-037,target_max_lifetime_hours,72,72,PASS,authorization_contract,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-038,target_delete_after_evidence_hours,24,24,PASS,authorization_contract,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-039,raw_service_identifier_captured,false,false,PASS,privacy_boundary,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-040,connection_value_captured,false,false,PASS,privacy_boundary,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-041,credential_captured,false,false,PASS,privacy_boundary,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-042,exact_created_timestamp_inferred,false,false,PASS,evidence_boundary,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-043,external_evidence_hash_count,5,5,PASS,evidence_document,mismatch
PMAI-P0-04-FDTP-EXEC-EVID-V3-044,raw_screenshot_in_repository,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-045,package_provider_access,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-046,package_target_creation,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-047,package_target_modification,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-048,package_target_deletion,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-049,package_archive_access,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-050,active_restore_runner_created,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-051,restore_runner_activated,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-052,restore_runner_executed,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-053,database_connection,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-054,restore_execution,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-055,migration_created,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-056,migration_executed,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-057,application_deployment,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-058,resource_deleted,false,false,PASS,repository_package,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-059,backup_restoreability_verified,false,false,PASS,evidence_boundary,true
PMAI-P0-04-FDTP-EXEC-EVID-V3-060,staging_0010_apply_authorized,false,false,PASS,evidence_boundary,true
