species_group,review_domain,go_no_go_gate,governance_status,governance_decision,required_gates,collection_execution_allowed,numeric_value_capture_allowed,route_frequency_capture_allowed,usable_medication_instruction_allowed,requires_human_review,clinician_signoff_required,notes
bird,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
bird,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
ferret,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
turtle,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
lizard,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
snake,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
amphibian,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
fish,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
guinea_pig,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
hamster,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,sedation_anesthesia_risk_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
chinchilla,emergency_stabilization_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
rat_mouse,analgesia_and_pain_control_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
rat_mouse,antimicrobial_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
rat_mouse,antiparasitic_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
rat_mouse,fluid_and_supportive_care_source_review,source_collection_execution_governance,defined_not_approved,NO_GO_TO_COLLECTION_EXECUTION,named_collector_assigned;second_reviewer_assigned;source_access_verified;copyright_access_verified;metadata_only_workspace_ready;value_capture_blocker_enabled;human_review_required;clinician_signoff_required;no_client_facing_use,false,false,false,false,true,true,"metadata-only governance shell; no dose, route, frequency, prescription, or treatment protocol capture"
