control_id,control,expected,observed,status,evidence,fail_action
PMAI-P0-04-RRDP-V3-015,logical_root_fingerprint,approved,approved,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-016,archive_attempts_consumed,3,3,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-017,archive_attempts_remaining,0,0,PASS,published_v3_evidence,HOLD
PMAI-P0-04-RRDP-V3-018,candidate_suffix,.py.txt,.py.txt,PASS,repository_path,HOLD
PMAI-P0-04-RRDP-V3-019,candidate_ast_valid,true,true,PASS,validator_ast_parse,HOLD
PMAI-P0-04-RRDP-V3-020,candidate_imported,false,false,PASS,validator_contract,HOLD
PMAI-P0-04-RRDP-V3-021,candidate_executed,false,false,PASS,validator_contract,HOLD
PMAI-P0-04-RRDP-V3-022,candidate_promoted_to_py,false,false,PASS,repository_path,HOLD
PMAI-P0-04-RRDP-V3-023,execution_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-024,archive_access_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-025,archive_listing_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-026,payload_read_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-027,archive_extraction_implemented,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-028,target_provisioning_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-029,database_connection_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-030,database_write_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-031,restore_process_implemented,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-032,restore_execution_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-033,pg_restore_invocation_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-034,psql_invocation_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-035,automatic_retry_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-036,manual_retry_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-037,migration_0010_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-038,deployment_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-039,resource_deletion_enabled,false,false,PASS,candidate_literal,HOLD
PMAI-P0-04-RRDP-V3-040,extractall_forbidden,true,true,PASS,design_requirements,HOLD
PMAI-P0-04-RRDP-V3-041,unsafe_member_rejection_required,true,true,PASS,design_requirements,HOLD
PMAI-P0-04-RRDP-V3-042,no_overwrite_no_follow_required,true,true,PASS,design_requirements,HOLD
PMAI-P0-04-RRDP-V3-043,new_private_temp_required,true,true,PASS,design_requirements,HOLD
PMAI-P0-04-RRDP-V3-044,fresh_disposable_target_selected,false,false,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-045,legacy_target_reuse_forbidden,true,true,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-046,production_excluded,true,true,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-047,staging_source_excluded,true,true,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-048,backup_restoreability_verified,false,false,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-049,restore_rehearsal_complete,false,false,PASS,preparation_document,HOLD
PMAI-P0-04-RRDP-V3-050,next_gate,SEPARATE_RESTORE_RUNNER_V3_AUTHORIZATION_REVIEW_V1_REQUIRED,SEPARATE_RESTORE_RUNNER_V3_AUTHORIZATION_REVIEW_V1_REQUIRED,PASS,preparation_document,HOLD
