workspace_id,species_group,review_domain,workspace_scope,workspace_status,metadata_only_policy,source_collection_execution_status,named_collector_required,second_reviewer_required,source_access_required,copyright_access_required,value_capture_blocker_status,numeric_value_capture_status,route_frequency_capture_status,usable_medication_instruction_status,deidentification_required,human_review_required,clinician_signoff_required,go_no_go_status,notes
workspace:ferret:sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:ferret:emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:antimicrobial_source_review,turtle,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:antiparasitic_source_review,turtle,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:turtle:emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:antimicrobial_source_review,lizard,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:antiparasitic_source_review,lizard,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:lizard:emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:antimicrobial_source_review,snake,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:antiparasitic_source_review,snake,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:snake:emergency_stabilization_source_review,snake,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:antimicrobial_source_review,amphibian,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:antiparasitic_source_review,amphibian,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:amphibian:emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:antimicrobial_source_review,fish,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:antiparasitic_source_review,fish,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:fish:emergency_stabilization_source_review,fish,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:antimicrobial_source_review,guinea_pig,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:antiparasitic_source_review,guinea_pig,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:guinea_pig:emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:antimicrobial_source_review,hamster,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:antiparasitic_source_review,hamster,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hamster:emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:antimicrobial_source_review,chinchilla,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:antiparasitic_source_review,chinchilla,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:chinchilla:emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rat_mouse:analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rat_mouse:antimicrobial_source_review,rat_mouse,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rat_mouse:antiparasitic_source_review,rat_mouse,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rat_mouse:fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
