activation_final_go_no_go_id,species_group,review_domain,final_go_no_go_scope,readiness_report_status,activation_readiness_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,pilot_sample_limit_status,halt_rule_status,final_go_no_go_status,governance_decision,collection_activation_status,collection_execution_status,human_review_required,clinician_signoff_required,next_required_stage
activation-final-go-no-go:turtle:sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:turtle:emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:antimicrobial_source_review,lizard,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:antiparasitic_source_review,lizard,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:lizard:emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:antimicrobial_source_review,snake,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:antiparasitic_source_review,snake,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:snake:emergency_stabilization_source_review,snake,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:amphibian:analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:amphibian:antimicrobial_source_review,amphibian,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:amphibian:antiparasitic_source_review,amphibian,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
