activation_readiness_report_id,species_group,review_domain,activation_readiness_scope,readiness_report_status,activation_readiness_status,final_go_no_go_status,governance_signoff_record_final_go_no_go_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_status,collection_execution_status,report_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-readiness-report:ferret:fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:ferret:sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:ferret:emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:antimicrobial_source_review,turtle,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:antiparasitic_source_review,turtle,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:turtle:emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:antimicrobial_source_review,lizard,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:antiparasitic_source_review,lizard,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:lizard:emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:antimicrobial_source_review,snake,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:antiparasitic_source_review,snake,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:snake:emergency_stabilization_source_review,snake,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:amphibian:analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:amphibian:antimicrobial_source_review,amphibian,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:amphibian:antiparasitic_source_review,amphibian,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
