activation_readiness_id,species_group,review_domain,final_go_no_go_status,governance_signoff_record_status,governance_signoff_record_validation_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,dose_output_enabled,governance_decision,next_required_stage,human_review_required,clinician_signoff_required
activation-readiness-bird-sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-bird-emergency_stabilization_source_review,bird,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-antimicrobial_source_review,ferret,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-antiparasitic_source_review,ferret,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-ferret-emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-antimicrobial_source_review,turtle,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-antiparasitic_source_review,turtle,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-turtle-emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-antimicrobial_source_review,lizard,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-antiparasitic_source_review,lizard,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-lizard-emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-antimicrobial_source_review,snake,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-antiparasitic_source_review,snake,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-snake-emergency_stabilization_source_review,snake,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-antimicrobial_source_review,amphibian,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-antiparasitic_source_review,amphibian,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-amphibian-emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-antimicrobial_source_review,fish,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-antiparasitic_source_review,fish,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-fish-emergency_stabilization_source_review,fish,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
