check_id,control,expected,observed,status,gate,decision
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-023,storage_autoscaling,false,false,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-024,read_replica_count,0,0,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-025,high_availability,false,false,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-026,connection_pooling,false,false,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-027,application_attachment_count,0,0,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-028,network_scope,UNATTACHED_NO_APPLICATION_TRAFFIC,UNATTACHED_NO_APPLICATION_TRAFFIC,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-029,cost_ceiling_usd,1.00,1.00,PASS,contract,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-030,max_lifetime_hours,72,72,PASS,lifecycle,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-031,delete_after_evidence_hours,24,24,PASS,lifecycle,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-032,deletion_owner,PROJECT_OWNER_OPERATOR,PROJECT_OWNER_OPERATOR,PASS,lifecycle,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-033,current_target_authority,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-034,current_external_execution_authority,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-035,one_time_confirmation,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-036,current_attempts_authorized,0,0,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-037,post_confirmation_attempt_limit,1,1,PASS,future_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-038,automatic_retry,false,false,PASS,future_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-039,manual_retry,false,false,PASS,future_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-040,provider_control_plane_opened,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-041,target_form_submitted,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-042,external_create_request,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-043,target_selected,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-044,target_created,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-045,credential_collection,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-046,connection_value_access,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-047,archive_access,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-048,backup_listing,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-049,backup_payload_read,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-050,active_runner_created,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-051,runner_activated,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-052,runner_executed,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-053,database_connection,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-054,database_write,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-055,restore_execution,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-056,pg_restore,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-057,psql,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-058,alembic,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-059,migration_0010,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-060,deployment,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-061,resource_deletion,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-062,stage,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-063,commit,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-064,push,false,false,PASS,current_boundary,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-065,locked_runner_sha256,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,c50002898763c0b7e6aa618d2728f8595496c5c4bb57e300aedbc4d59bbde23f,PASS,integrity,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-066,restoreability_verified,false,false,PASS,hard_gate,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-067,restore_rehearsal_complete,false,false,PASS,hard_gate,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-068,p0_04_execution,false,false,PASS,hard_gate,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-069,staging_0010_apply,false,false,PASS,hard_gate,HOLD
PMAI-P0-04-FDTP-EXT-AUTH-V3-CHK-070,sole_next_subject,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_V3,FRESH_DISPOSABLE_TARGET_PROVISIONING_EXTERNAL_EXECUTION_V3,PASS,ordered_gate,HOLD
