governance_signoff_record_id,species_group,review_domain,governance_signoff_id,workspace_scope,clinical_owner_record_status,second_reviewer_record_status,source_access_record_status,copyright_access_record_status,metadata_only_policy_record_status,value_capture_blocker_record_status,collection_execution_status,signoff_record_status,signoff_completed_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-record-bird-sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,gov-signoff-bird-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-bird-emergency_stabilization_source_review,bird,emergency_stabilization_source_review,gov-signoff-bird-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,gov-signoff-ferret-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-antimicrobial_source_review,ferret,antimicrobial_source_review,gov-signoff-ferret-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-antiparasitic_source_review,ferret,antiparasitic_source_review,gov-signoff-ferret-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,gov-signoff-ferret-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,gov-signoff-ferret-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-ferret-emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,gov-signoff-ferret-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,gov-signoff-turtle-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-antimicrobial_source_review,turtle,antimicrobial_source_review,gov-signoff-turtle-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-antiparasitic_source_review,turtle,antiparasitic_source_review,gov-signoff-turtle-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,gov-signoff-turtle-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,gov-signoff-turtle-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-turtle-emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,gov-signoff-turtle-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,gov-signoff-lizard-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-antimicrobial_source_review,lizard,antimicrobial_source_review,gov-signoff-lizard-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-antiparasitic_source_review,lizard,antiparasitic_source_review,gov-signoff-lizard-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,gov-signoff-lizard-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,gov-signoff-lizard-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-lizard-emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,gov-signoff-lizard-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,gov-signoff-snake-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-antimicrobial_source_review,snake,antimicrobial_source_review,gov-signoff-snake-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-antiparasitic_source_review,snake,antiparasitic_source_review,gov-signoff-snake-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,gov-signoff-snake-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,gov-signoff-snake-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-snake-emergency_stabilization_source_review,snake,emergency_stabilization_source_review,gov-signoff-snake-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,gov-signoff-amphibian-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-antimicrobial_source_review,amphibian,antimicrobial_source_review,gov-signoff-amphibian-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-antiparasitic_source_review,amphibian,antiparasitic_source_review,gov-signoff-amphibian-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,gov-signoff-amphibian-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,gov-signoff-amphibian-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-amphibian-emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,gov-signoff-amphibian-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,gov-signoff-fish-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-antimicrobial_source_review,fish,antimicrobial_source_review,gov-signoff-fish-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-antiparasitic_source_review,fish,antiparasitic_source_review,gov-signoff-fish-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,gov-signoff-fish-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,gov-signoff-fish-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-fish-emergency_stabilization_source_review,fish,emergency_stabilization_source_review,gov-signoff-fish-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-guinea_pig-analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,gov-signoff-guinea_pig-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
