execution_readiness_id,species_group,review_domain,source_collection_protocol_reference,source_registry_reference,evidence_table_reference,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,workspace_status,deidentification_required,value_capture_policy,dose_output_enabled,route_or_frequency_capture_enabled,collection_execution_status,go_no_go
exec-ready-bird-sedation-anesthesia-risk-source-review,bird,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-bird-emergency-stabilization-source-review,bird,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-analgesia-and-pain-control-source-review,ferret,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-antimicrobial-source-review,ferret,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-antiparasitic-source-review,ferret,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-fluid-and-supportive-care-source-review,ferret,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-sedation-anesthesia-risk-source-review,ferret,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-ferret-emergency-stabilization-source-review,ferret,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-analgesia-and-pain-control-source-review,turtle,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-antimicrobial-source-review,turtle,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-antiparasitic-source-review,turtle,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-fluid-and-supportive-care-source-review,turtle,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-sedation-anesthesia-risk-source-review,turtle,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-turtle-emergency-stabilization-source-review,turtle,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-analgesia-and-pain-control-source-review,lizard,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-antimicrobial-source-review,lizard,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-antiparasitic-source-review,lizard,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-fluid-and-supportive-care-source-review,lizard,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-sedation-anesthesia-risk-source-review,lizard,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-lizard-emergency-stabilization-source-review,lizard,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-analgesia-and-pain-control-source-review,snake,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-antimicrobial-source-review,snake,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-antiparasitic-source-review,snake,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-fluid-and-supportive-care-source-review,snake,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-sedation-anesthesia-risk-source-review,snake,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-snake-emergency-stabilization-source-review,snake,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-analgesia-and-pain-control-source-review,amphibian,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-antimicrobial-source-review,amphibian,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-antiparasitic-source-review,amphibian,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-fluid-and-supportive-care-source-review,amphibian,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-sedation-anesthesia-risk-source-review,amphibian,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-amphibian-emergency-stabilization-source-review,amphibian,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-fish-analgesia-and-pain-control-source-review,fish,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-fish-antimicrobial-source-review,fish,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
