control_id,control,expected,current,status,evidence
PMAI-P0-04-SPR-GOV-CHK-043,selected_route,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,PASS,route decision
PMAI-P0-04-SPR-GOV-CHK-044,corrected_predicate_requirements_selected,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-045,corrected_predicate_implementation_selected,false,false,PASS,no V2 implementation
PMAI-P0-04-SPR-GOV-CHK-046,v2_optional_leading_dot_policy_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-047,v2_root_marker_policy_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-048,v2_internal_dot_rejection_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-049,v2_parent_rejection_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-050,v2_wrapped_root_classification_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-051,v2_unwrapped_root_classification_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-052,v2_sanitized_reason_counters_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-053,v2_raw_member_names_suppressed,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-054,v2_payload_read_false_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-055,v2_separate_authorization_required,true,true,PASS,V2 preparation contract
PMAI-P0-04-SPR-GOV-CHK-056,archive_file_opened,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-057,backup_archive_listing_invoked,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-058,investigation_retry,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-059,new_investigator_created,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-060,new_investigator_executed,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-061,database_connection,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-062,restore_execution,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-063,migration_created,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-064,staging_0010_apply_authorized,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-065,render_target_created,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-066,restore_runner_created,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-067,application_deployment,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-068,resource_deleted,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-069,git_stage_authorized,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-070,git_commit_authorized,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-071,git_push_authorized,false,false,PASS,current package
PMAI-P0-04-SPR-GOV-CHK-072,next_action,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_REQUIRED,SEPARATE_ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_REQUIRED,PASS,next gate
