species_group,species_scope,taxonomy_group,review_domain,evidence_minimum,current_status,controlled_research_task,required_metadata_only,blocked_content,go_no_go_requirement,dose_output_enabled,prescription_enabled,client_facing,notes
ferret,ferret,mustelid,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
turtle,turtle_tortoise_terrapin,chelonian,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
lizard,lizard_gecko_iguana_chameleon,lizard,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
snake,snake,snake,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
amphibian,frog_toad_salamander_newt_axolotl,amphibian,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
fish,ornamental_fish_koi_betta_goldfish,fish,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
guinea_pig,guinea_pig,small_mammal,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hamster,hamster,small_mammal,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
chinchilla,chinchilla,small_mammal,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
rat_mouse,rat_mouse,small_mammal,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hedgehog,hedgehog,insectivore,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hedgehog,hedgehog,insectivore,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
