species_group,species_label,review_domain,domain_label,prior_stage,abstraction_stage,citation_metadata_allowed,species_applicability_allowed,indication_category_allowed,evidence_strength_hint_allowed,contraindication_theme_allowed,monitoring_theme_allowed,numeric_dose_value_allowed,route_text_allowed,frequency_text_allowed,prescription_direction_allowed,treatment_protocol_allowed,human_review_required,source_review_status,notes
turtle,Chelonian / turtle / tortoise,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
turtle,Chelonian / turtle / tortoise,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
lizard,Lizard,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
snake,Snake,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
amphibian,Amphibian,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
fish,Fish / aquatic species,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-reptile-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
guinea_pig,Guinea pig,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hamster,Hamster,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
chinchilla,Chinchilla,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
rat_mouse,Rat / mouse,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
hedgehog,Hedgehog,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,analgesia_and_pain_control_source_review,Pain-control evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,antimicrobial_source_review,Antimicrobial evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,antiparasitic_source_review,Antiparasitic evidence abstraction without usable dosing values,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,fluid_and_supportive_care_source_review,Supportive-care evidence abstraction without usable numeric protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,sedation_anesthesia_risk_source_review,Sedation/anesthesia risk evidence abstraction without protocol details,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
sugar_glider,Sugar glider,emergency_stabilization_source_review,Emergency stabilization evidence abstraction without treatment protocols,post-small-mammal-split,metadata_and_safety_theme_only,true,true,true,true,true,true,false,false,false,false,false,true,not_started,Ready for citation metadata abstraction only; no usable medication directions may be recorded.
