evidence_id,evidence_type,required_field,observed_value,evidence_source,evidence_sha256,evidence_status,blocking,notes
RRE-011,revision,pre_restore_revision,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/10_source_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be 0009_diag_data.
RRE-012,revision,post_restore_revision,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be 0009_diag_data.
RRE-013,revision,post_restore_alembic_head,0009_diag_data,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Repository head marker remains 0009_diag_data.
RRE-014,revision,post_restore_schema_ok,true,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be true.
RRE-015,revision,post_restore_migration_errors,[],docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Must be an empty list.
RRE-016,operation_output,backup_output_artifact,02_provider_backup_sanitized.txt,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,ab094867fcd164ac0daf2c98414f229ae470b1bb5fa0c91adde9f01de29e50a7,VERIFIED,yes,Sanitized provider PITR evidence.
RRE-017,operation_output,restore_output_artifact,11_restore_readonly_verification.csv,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/11_restore_readonly_verification.csv,8ae93ff3e3781518c6ed2b44313c2f05f155f5cc9094b4307e0609840c8474af,VERIFIED,yes,Sanitized read-only restore output.
RRE-018,operation_output,rollback_dry_run_artifact,12_restore_comparison_sanitized.txt,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,d0cdfbcf6b7b1bfca2453527d4ea806ce9a08e1a6f0403f4d6687e928ca54dc8,VERIFIED,yes,Restore-based rollback comparison; signed-review 0010 remains absent.
RRE-019,governance,operator_role,release_operator,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,b3fc2cbd1d225d44d9db7973c68c330914c792b529ade99e5aaf37e3a164bc3c,VERIFIED,yes,Role label only.
RRE-020,governance,incident_owner_role,backend_owner,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,b3fc2cbd1d225d44d9db7973c68c330914c792b529ade99e5aaf37e3a164bc3c,VERIFIED,yes,Role label and stop/escalation path recorded.
