activation_governance_signoff_id,species_group,review_domain,activation_governance_scope,activation_readiness_final_go_no_go_status,clinical_owner_signoff_status,second_reviewer_signoff_status,source_access_signoff_status,copyright_access_signoff_status,metadata_only_workspace_signoff_status,forbidden_value_scanner_signoff_status,value_capture_blocker_signoff_status,activation_signoff_status,activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-governance-signoff:bird:sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:bird:emergency_stabilization_source_review,bird,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:antimicrobial_source_review,ferret,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:antiparasitic_source_review,ferret,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:ferret:emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:antimicrobial_source_review,turtle,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:antiparasitic_source_review,turtle,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:turtle:emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:antimicrobial_source_review,lizard,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:antiparasitic_source_review,lizard,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:lizard:emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:antimicrobial_source_review,snake,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:antiparasitic_source_review,snake,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:snake:emergency_stabilization_source_review,snake,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:antimicrobial_source_review,amphibian,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:antiparasitic_source_review,amphibian,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:amphibian:emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:fish:analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:fish:antimicrobial_source_review,fish,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:fish:antiparasitic_source_review,fish,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
