controlled_pilot_id,species_group,review_domain,execution_readiness_reference,source_collection_protocol_reference,source_registry_reference,evidence_table_reference,pilot_scope,pilot_batch_status,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,workspace_status,allowed_capture,prohibited_capture,dose_output_enabled,route_or_frequency_capture_enabled,stores_usable_medication_instruction,pilot_execution_allowed_now,go_no_go
pilot-bird-sedation-anesthesia-risk-source-review,bird,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-bird-emergency-stabilization-source-review,bird,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-analgesia-and-pain-control-source-review,ferret,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-antimicrobial-source-review,ferret,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-antiparasitic-source-review,ferret,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-fluid-and-supportive-care-source-review,ferret,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-sedation-anesthesia-risk-source-review,ferret,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-ferret-emergency-stabilization-source-review,ferret,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-analgesia-and-pain-control-source-review,turtle,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-antimicrobial-source-review,turtle,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-antiparasitic-source-review,turtle,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-fluid-and-supportive-care-source-review,turtle,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-sedation-anesthesia-risk-source-review,turtle,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-turtle-emergency-stabilization-source-review,turtle,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-lizard-analgesia-and-pain-control-source-review,lizard,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-lizard-antimicrobial-source-review,lizard,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
pilot-lizard-antiparasitic-source-review,lizard,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_EXECUTION_READINESS_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,manual_metadata_only_source_collection_shell,planned_not_started,required_before_start,required_before_start,required_before_start,required_before_start,metadata_only_workspace_required_before_start,source_metadata_species_applicability_indication_category_contraindication_theme_monitoring_theme_conflict_note,numeric_dose_value_dose_unit_route_text_frequency_text_duration_text_prescription_direction_treatment_protocol_client_instruction_copied_table_text_copyrighted_full_text,false,false,false,false,NO_GO_FOR_REAL_COLLECTION_UNTIL_REVIEWERS_ACCESS_WORKSPACE_AND_COPYRIGHT_ARE_APPROVED
