registry_id,species_group,review_domain,registry_scope,allowed_source_types,required_metadata,review_controls,source_capture_status,dose_output_enabled,captures_numeric_dose_value,captures_route_or_frequency_text,prescription_instruction_allowed,review_status,next_action
exotics_source_registry_bird_sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_bird_emergency_stabilization_source_review,bird,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_antimicrobial_source_review,ferret,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_antiparasitic_source_review,ferret,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_ferret_emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_antimicrobial_source_review,turtle,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_antiparasitic_source_review,turtle,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_turtle_emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_antimicrobial_source_review,lizard,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_antiparasitic_source_review,lizard,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_lizard_emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_antimicrobial_source_review,snake,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_antiparasitic_source_review,snake,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_snake_emergency_stabilization_source_review,snake,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_antimicrobial_source_review,amphibian,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_antiparasitic_source_review,amphibian,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_amphibian_emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_antimicrobial_source_review,fish,antimicrobial_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_antiparasitic_source_review,fish,antiparasitic_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
exotics_source_registry_fish_emergency_stabilization_source_review,fish,emergency_stabilization_source_review,source_metadata_registry_only,peer_reviewed_article_metadata_only;exotics_textbook_metadata_only;exotics_formulary_metadata_only;specialty_conference_proceedings_metadata_only;manufacturer_label_or_safety_sheet_metadata_only;institutional_protocol_candidate_metadata_only;expert_review_note_metadata_only,citation_key;source_type;publication_or_edition_metadata;species_applicability_note;reviewer_initials,human_review_required;second_review_required;conflict_check_required;no_medication_instruction_capture,not_started,false,false,false,false,registry_slot_created_not_populated,collect_source_metadata_without_medication_instructions
