governance_signoff_id,species_group,review_domain,workspace_scope,workspace_status,workspace_validation_status,validation_report_status,named_clinical_owner_status,second_reviewer_status,source_access_status,copyright_access_status,metadata_only_policy,value_capture_blocker_status,collection_execution_status,governance_signoff_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-bird-sedation_anesthesia_risk_source_review,bird,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-bird-emergency_stabilization_source_review,bird,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-analgesia_and_pain_control_source_review,ferret,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-antimicrobial_source_review,ferret,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-antiparasitic_source_review,ferret,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-fluid_and_supportive_care_source_review,ferret,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-sedation_anesthesia_risk_source_review,ferret,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-ferret-emergency_stabilization_source_review,ferret,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-analgesia_and_pain_control_source_review,turtle,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-antimicrobial_source_review,turtle,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-antiparasitic_source_review,turtle,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-fluid_and_supportive_care_source_review,turtle,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-sedation_anesthesia_risk_source_review,turtle,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-turtle-emergency_stabilization_source_review,turtle,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-analgesia_and_pain_control_source_review,lizard,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-antimicrobial_source_review,lizard,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-antiparasitic_source_review,lizard,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-fluid_and_supportive_care_source_review,lizard,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-sedation_anesthesia_risk_source_review,lizard,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-lizard-emergency_stabilization_source_review,lizard,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-analgesia_and_pain_control_source_review,snake,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-antimicrobial_source_review,snake,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-antiparasitic_source_review,snake,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-fluid_and_supportive_care_source_review,snake,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-sedation_anesthesia_risk_source_review,snake,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-snake-emergency_stabilization_source_review,snake,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-analgesia_and_pain_control_source_review,amphibian,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-antimicrobial_source_review,amphibian,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-antiparasitic_source_review,amphibian,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-amphibian-emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-antimicrobial_source_review,fish,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-antiparasitic_source_review,fish,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-fish-emergency_stabilization_source_review,fish,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-guinea_pig-analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-guinea_pig-antimicrobial_source_review,guinea_pig,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-guinea_pig-antiparasitic_source_review,guinea_pig,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
