control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARCI-EXEC-EVID-026,normalized_path_violation_count,29,29,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-027,duplicate_normalized_member_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-028,case_collision_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-029,top_level_component_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-030,single_common_root_present,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-031,all_members_contained_by_common_root,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-032,toc_dat_candidate_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-033,toc_dat_relation_category,NONE_OR_AMBIGUOUS,NONE_OR_AMBIGUOUS,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-034,restore_input_kind_classification,AMBIGUOUS_OR_UNSUPPORTED,AMBIGUOUS_OR_UNSUPPORTED,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-035,root_contract_resolved,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-036,stop_code,STRUCTURAL_PREDICATE_MISMATCH,STRUCTURAL_PREDICATE_MISMATCH,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-EXEC-EVID-037,decision,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,PASS,sanitized_result,not_hold
PMAI-P0-04-ARCI-EXEC-EVID-038,investigation_member_payload_read,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-039,investigation_backup_archive_extracted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-040,investigation_backup_archive_modified,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-041,investigation_raw_member_names_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-042,investigation_raw_external_path_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-043,investigation_restore_execution,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-EXEC-EVID-044,backup_corruption_established,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-EXEC-EVID-045,structural_predicate_mismatch_cause_resolved,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-EXEC-EVID-046,leading_dot_component_hypothesis_status,UNVERIFIED_INFERENCE_ONLY,UNVERIFIED_INFERENCE_ONLY,PASS,evidence_interpretation,promoted_to_fact
PMAI-P0-04-ARCI-EXEC-EVID-047,package_archive_file_opened,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-048,package_backup_archive_listing_invoked,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-049,new_investigator_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-050,new_investigator_executed,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-051,database_connection,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-052,restore_runner_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-053,restore_execution,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-054,migration_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-055,migration_executed,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-056,application_deployment,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-057,resource_deleted,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-EXEC-EVID-058,backup_restoreability_verified,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-EXEC-EVID-059,disposable_restore_rehearsal_complete,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-EXEC-EVID-060,staging_0010_apply_authorized,false,false,PASS,evidence_decision,true
