control_id,control,expected,current,status,evidence_source,stop_if
PMAI-P0-04-ARCI-AUTH-023,investigation_implementation_sha256,2b99a7446fbd5509e22c9fa5f6cb18eca920711208aa37fb4af568fd21f6faab,2b99a7446fbd5509e22c9fa5f6cb18eca920711208aa37fb4af568fd21f6faab,PASS,reviewed_inert_source,mismatch
PMAI-P0-04-ARCI-AUTH-024,investigation_implementation_executable_in_repository,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-025,investigation_default_mode,CONTRACT_ONLY_NO_ARCHIVE_OPEN,CONTRACT_ONLY_NO_ARCHIVE_OPEN,PASS,reviewed_inert_source,mismatch
PMAI-P0-04-ARCI-AUTH-026,archive_listing_attempt_budget,1,1,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-027,archive_listing_attempts_consumed,0,0,PASS,review_package,not zero
PMAI-P0-04-ARCI-AUTH-028,member_header_read_scope,METADATA_ONLY,METADATA_ONLY,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-029,member_payload_read_scope,FORBIDDEN,FORBIDDEN,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-030,member_extraction_scope,FORBIDDEN,FORBIDDEN,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-031,raw_member_list_output,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-032,common_root_repository_value,HASH_ONLY,HASH_ONLY,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-033,evidence_field_count,28,28,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-034,success_requires_archive_member_count,29,29,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-035,root_contract_resolved,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-036,legacy_runner_v1_reuse_allowed,false,false,PASS,prior_decision,true
PMAI-P0-04-ARCI-AUTH-037,legacy_runner_v2_reuse_allowed,false,false,PASS,prior_decision,true
PMAI-P0-04-ARCI-AUTH-038,new_restore_runner_design_authorized,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-039,new_disposable_target_authorized,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-040,database_connection,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-041,restore_execution,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-042,migration_created,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-043,application_deployment,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-044,resource_deleted,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-045,backup_restoreability_verified,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-046,disposable_restore_rehearsal_complete,false,false,PASS,review_package,true
PMAI-P0-04-ARCI-AUTH-047,next_action,REQUEST_SEPARATE_REPOSITORY_APPLY_AUTHORIZATION_FOR_EXACT_BUNDLE,REQUEST_SEPARATE_REPOSITORY_APPLY_AUTHORIZATION_FOR_EXACT_BUNDLE,PASS,review_package,mismatch
PMAI-P0-04-ARCI-AUTH-048,repository_apply_authorized,false,false,PASS,review_package,true
